Title,Description,Runtime,Genre,Year
Ran,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",162,"Action, Drama            ",1985
Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",129,"Biography, Drama, Sport            ",1980
Stalker,A guide leads two men through an area known as the Zone to find a room that grants wishes.,162,"Drama, Sci-Fi            ",1979
Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",91,"Adventure, Comedy, Fantasy            ",1975
Chinatown,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",130,"Drama, Mystery, Thriller            ",1974
Andrei Rublev,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",205,"Biography, Drama, History            ",1966
The Great Escape,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,172,"Adventure, Drama, History            ",1963
El ángel exterminador,The guests at an upper-class dinner party find themselves unable to leave.,95,"Drama, Fantasy            ",1962
Yôjinbô,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,110,"Action, Comedy, Crime            ",1961
Judgment at Nuremberg,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",179,"Drama, War            ",1961
Some Like It Hot,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",121,"Comedy, Music, Romance            ",1959
Smultronstället,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",91,"Drama, Romance            ",1957
Det sjunde inseglet,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",96,"Drama, Fantasy            ",1957
Dial M for Murder,A tennis player frames his unfaithful wife for first-degree murder after she inadvertently hinders his plan to kill her.,105,"Crime, Thriller            ",1954
Tôkyô monogatari,An old couple visit their children and grandchildren in the city; but the children have little time for them.,136,Drama            ,1953
Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",111,"Drama, Film-Noir            ",1951
Rashômon,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",88,"Crime, Drama, Mystery            ",1950
All About Eve,An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,138,Drama            ,1950
White Heat,"A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist. Shortly after the plan takes place, events take a crazy turn.",114,"Action, Crime, Drama            ",1949
The Treasure of the Sierra Madre,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.",126,"Adventure, Drama, Western            ",1948
The Red Shoes,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,134,"Drama, Music, Romance            ",1948
La passion de Jeanne d'Arc,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",110,"Biography, Drama, History            ",1928
The Gold Rush,A prospector goes to the Klondike in search of gold and finds it and more.,95,"Adventure, Comedy, Drama            ",1925
Sherlock Jr.,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",45,"Action, Comedy, Romance            ",1924
Ah-ga-ssi,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",145,"Drama, Romance, Thriller            ",2016
Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",137,"Action, Drama, Sci-Fi            ",2017
Relatos salvajes,Six short stories that explore the extremities of human behavior involving people in distress.,122,"Comedy, Drama, Thriller            ",2014
The Grand Budapest Hotel,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",99,"Adventure, Comedy, Crime            ",2014
Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",149,"Drama, Mystery, Thriller            ",2014
Hacksaw Ridge,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",139,"Biography, Drama, History            ",2016
12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",134,"Biography, Drama, History            ",2013
Rush,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,123,"Biography, Drama, Sport            ",I 2013
Spotlight,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",129,"Biography, Crime, Drama            ",I 2015
The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",146,Drama            ,2011
Prisoners,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",153,"Crime, Drama, Mystery            ",2013
Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",120,"Action, Adventure, Sci-Fi            ",2015
